Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
6/10/2016,"2,261","10,466",4.51,0,784,206,9,21,947
6/11/2016,"2,124","8,151",3.47,0,633,196,37,4,833
6/12/2016,"2,106","7,212",3.07,0,597,231,15,0,816
6/13/2016,"2,307","11,340",4.88,0,695,235,4,19,"1,026"
6/14/2016,"2,280","10,398",4.43,0,670,235,3,28,"1,012"
6/15/2016,"2,322","10,774",4.63,10,651,295,8,3,"1,109"
6/16/2016,"2,167","8,358",3.56,0,704,240,9,1,870
6/17/2016,"2,307","10,319",4.44,0,756,243,3,18,"1,012"
6/18/2016,"2,616","15,921",6.78,0,530,313,15,21,"1,431"
6/19/2016,"2,084","7,052",3,0,593,237,0,0,790
6/20/2016,"2,295","10,981",4.72,0,705,226,1,19,993
6/21/2016,"2,342","11,745",5.03,0,553,242,22,25,"1,103"
6/22/2016,"2,286","10,670",4.59,0,726,229,1,22,997
6/23/2016,"2,224","9,704",4.13,0,720,200,22,24,934
6/24/2016,"2,115","7,756",3.3,0,742,206,15,1,781
6/25/2016,"2,069","7,587",3.26,0,648,184,0,10,730
6/26/2016,"2,103","7,538",3.21,0,604,245,0,0,824
6/27/2016,"2,176","8,468",3.6,0,713,213,21,7,865
6/28/2016,"2,234","9,909",4.27,0,712,204,4,23,916
6/29/2016,"2,297","11,085",4.75,0,695,215,13,23,"1,002"
6/30/2016,"2,328","11,549",4.95,0,768,210,13,21,"1,012"
7/1/2016,"2,225","9,263",3.99,0,649,234,3,21,945
7/2/2016,"2,088","7,614",3.24,0,701,169,1,23,738
7/3/2016,"2,124","8,059",3.43,0,646,181,4,24,791
7/4/2016,"2,148","7,722",3.34,0,610,241,5,1,847
7/5/2016,"2,244","10,457",4.5,0,742,185,13,20,909
7/6/2016,"2,311","11,005",4.68,0,701,238,9,20,"1,032"
7/7/2016,"2,236","9,653",4.11,0,725,225,10,18,943
7/8/2016,"2,270","10,656",4.57,9,737,236,4,15,"1,003"
7/9/2016,"2,104","7,091",3.02,0,693,247,0,0,812
7/10/2016,"2,326","11,178",4.76,0,571,188,15,55,"1,047"
7/11/2016,"2,356","11,438",4.9,0,686,241,12,20,"1,073"
7/12/2016,"2,342","10,846",4.62,0,631,309,7,1,"1,115"
7/13/2016,"2,414","12,734",5.56,0,654,248,12,24,"1,145"
7/14/2016,"2,400","12,521",5.5,0,703,237,18,24,"1,135"
7/15/2016,"2,310","10,613",4.52,0,730,229,11,32,"1,034"
7/16/2016,"2,327","10,920",4.65,0,634,228,17,28,"1,048"
7/17/2016,"2,140","7,997",3.4,0,593,221,9,15,855
7/18/2016,"2,204","9,515",4.05,0,716,218,11,2,883
7/19/2016,"2,446","12,794",5.61,0,633,253,13,24,"1,162"
7/20/2016,"2,280","10,328",4.4,0,670,260,10,2,"1,006"
7/21/2016,"2,310","11,279",4.8,0,685,225,22,16,"1,033"
7/22/2016,"2,254","9,795",4.17,0,739,220,11,22,955
7/23/2016,"2,149","8,279",3.52,8,676,179,5,25,806
7/24/2016,"2,084","7,081",3.01,0,616,236,0,0,788
7/25/2016,"2,311","11,313",4.82,0,693,228,8,19,"1,019"
